commentername,comment_id,post_id,comment_text,time_stamp
margot_robbie,1,14,cute,"2020-12-24 17:11:56"
elizabeth_olsen,2,14,heyyyy,"2020-12-24 17:12:12"
ibrahimArif,3,3,"smile :)
","2020-12-24 17:13:01"
ibrahimArif,4,18,uhmmm,"2020-12-24 17:13:15"
ibrahimArif,5,22,nice,"2020-12-24 17:13:22"
ibrahimArif,6,39,"our captain","2020-12-24 17:13:44"
ibrahimArif,7,39,"our pride","2020-12-24 17:13:53"
ibrahimArif,8,39,"Mr. defence","2020-12-24 17:13:59"
ibrahimArif,9,39,perfecto,"2020-12-24 17:14:04"
ibrahimArif,10,39,captain,"2020-12-24 17:14:09"
ibrahimArif,11,67,life,"2020-12-24 17:14:29"
ibrahimArif,12,34,eyes,"2020-12-24 17:14:55"
ibrahimArif,13,58,heheheheh,"2020-12-24 17:15:07"
ibrahimArif,14,58,hahaha,"2020-12-24 17:15:10"
ibrahimArif,15,58,3,"2020-12-24 17:15:14"
ibrahimArif,16,38,haha,"2020-12-24 17:23:16"
